datetime,area,rain_mm,traffic_index
2025-08-01 08:00,Silk Board,0.0,0.55
2025-08-01 09:00,Silk Board,0.0,0.70
2025-08-01 18:00,Silk Board,1.2,0.88
2025-08-01 19:00,Silk Board,3.5,0.95
2025-08-02 09:00,Outer Ring Road,0.0,0.65
2025-08-02 18:00,Outer Ring Road,2.0,0.91
2025-08-03 09:00,Whitefield,0.0,0.60
2025-08-03 18:00,Whitefield,4.0,0.97
2025-09-01 09:00,Silk Board,0.3,0.68
2025-09-01 18:00,Silk Board,6.0,0.98
2025-09-02 09:00,Outer Ring Road,0.0,0.63
2025-09-02 18:00,Outer Ring Road,5.0,0.96
2025-09-03 09:00,Whitefield,0.0,0.61
2025-09-03 18:00,Whitefield,3.8,0.94
2025-10-01 08:00,Silk Board,1.0,0.82
2025-10-01 09:00,Outer Ring Road,0.5,0.77
2025-10-01 18:00,Whitefield,4.5,0.99
2025-10-02 08:00,Silk Board,0.0,0.58
2025-10-02 18:00,Outer Ring Road,3.0,0.92
2025-10-02 19:00,Whitefield,5.0,0.98
